LAST VS TIME

Set #1
Juego #1
Jugador, Jugada, Puntaje
LAST,Serve,15
Jugador, Jugada, Puntaje
LAST,Serve,30
Jugador, Jugada, Puntaje
LAST,Serve,45
Jugador, Jugada, Puntaje
LAST,Serve,60
Ganador juego #1: LAST

Juego #2
Jugador, Jugada, Puntaje
LAST,Serve,15
Jugador, Jugada, Puntaje
LAST,Serve,30
Jugador, Jugada, Puntaje
LAST,Serve,45
Jugador, Jugada, Puntaje
LAST,Serve,60
Ganador juego #2: LAST

Juego #3
Jugador, Jugada, Puntaje
LAST,Serve,15
Jugador, Jugada, Puntaje
LAST,Serve,30
Jugador, Jugada, Puntaje
LAST,Serve,45
Jugador, Jugada, Puntaje
LAST,Serve,60
Ganador juego #3: LAST

Juego #4
Jugador, Jugada, Puntaje
LAST,Serve,15
Jugador, Jugada, Puntaje
LAST,Serve,30
Jugador, Jugada, Puntaje
LAST,Serve,45
Jugador, Jugada, Puntaje
LAST,Serve,60
Ganador juego #4: LAST

Juego #5
Jugador, Jugada, Puntaje
LAST,Serve,15
Jugador, Jugada, Puntaje
LAST,Serve,30
Jugador, Jugada, Puntaje
LAST,Serve,45
Jugador, Jugada, Puntaje
LAST,Serve,60
Ganador juego #5: LAST

Juego #6
Jugador, Jugada, Puntaje
LAST,Serve,15
Jugador, Jugada, Puntaje
LAST,Serve,30
Jugador, Jugada, Puntaje
LAST,Serve,45
Jugador, Jugada, Puntaje
LAST,Serve,60
Ganador juego #6: LAST

Ganador set #1: LAST

Set #2
Juego #1
Jugador, Jugada, Puntaje
TIME,Forehand,15
Jugador, Jugada, Puntaje
TIME,Forehand,30
Jugador, Jugada, Puntaje
TIME,Forehand,45
Jugador, Jugada, Puntaje
TIME,Forehand,60
Ganador juego #1: TIME

Juego #2
Jugador, Jugada, Puntaje
TIME,Forehand,15
Jugador, Jugada, Puntaje
TIME,Forehand,30
Jugador, Jugada, Puntaje
TIME,Forehand,45
Jugador, Jugada, Puntaje
TIME,Forehand,60
Ganador juego #2: TIME

Juego #3
Jugador, Jugada, Puntaje
TIME,Forehand,15
Jugador, Jugada, Puntaje
TIME,Forehand,30
Jugador, Jugada, Puntaje
TIME,Forehand,45
Jugador, Jugada, Puntaje
TIME,Forehand,60
Ganador juego #3: TIME

Juego #4
Jugador, Jugada, Puntaje
TIME,Forehand,15
Jugador, Jugada, Puntaje
TIME,Forehand,30
Jugador, Jugada, Puntaje
TIME,Forehand,45
Jugador, Jugada, Puntaje
TIME,Forehand,60
Ganador juego #4: TIME

Juego #5
Jugador, Jugada, Puntaje
TIME,Forehand,15
Jugador, Jugada, Puntaje
TIME,Forehand,30
Jugador, Jugada, Puntaje
TIME,Forehand,45
Jugador, Jugada, Puntaje
TIME,Forehand,60
Ganador juego #5: TIME

Juego #6
Jugador, Jugada, Puntaje
TIME,Forehand,15
Jugador, Jugada, Puntaje
TIME,Forehand,30
Jugador, Jugada, Puntaje
TIME,Forehand,45
Jugador, Jugada, Puntaje
TIME,Forehand,60
Ganador juego #6: TIME

Ganador set #2: TIME

Tiebreaker
Jugador, Jugada, Puntaje
LAST,Serve,1
Jugador, Jugada, Puntaje
LAST,Serve,2
Jugador, Jugada, Puntaje
LAST,Serve,3
Jugador, Jugada, Puntaje
LAST,Serve,4
Jugador, Jugada, Puntaje
LAST,Serve,5
Jugador, Jugada, Puntaje
LAST,Serve,6
Jugador, Jugada, Puntaje
LAST,Serve,7

Ganador partido: LAST
